Customer_ID,Customer_Name,Gender,Age,City,Customer_Segment,Region
CUST0001,Customer_1,Male,45,Ahmedabad,Consumer,West
CUST0002,Customer_2,Female,24,Hyderabad,Consumer,South
CUST0003,Customer_3,Female,52,Delhi,Consumer,North
CUST0004,Customer_4,Female,45,Chennai,Consumer,South
CUST0005,Customer_5,Male,31,Hyderabad,Consumer,South
CUST0006,Customer_6,Male,27,Hyderabad,Consumer,South
CUST0007,Customer_7,Male,33,Mumbai,Home Office,West
CUST0008,Customer_8,Female,33,Hyderabad,Consumer,South
CUST0009,Customer_9,Female,48,Ahmedabad,Consumer,West
CUST0010,Customer_10,Female,59,Mumbai,Consumer,West
CUST0011,Customer_11,Male,42,Chennai,Home Office,South
CUST0012,Customer_12,Female,30,Kolkata,Corporate,East
CUST0013,Customer_13,Female,23,Pune,Corporate,West
CUST0014,Customer_14,Male,61,Pune,Home Office,West
CUST0015,Customer_15,Male,26,Chennai,Consumer,South
CUST0016,Customer_16,Male,62,Chennai,Consumer,South
CUST0017,Customer_17,Male,53,Ahmedabad,Consumer,West
CUST0018,Customer_18,Male,60,Bangalore,Consumer,South
CUST0019,Customer_19,Male,37,Kolkata,Consumer,East
CUST0020,Customer_20,Male,35,Chennai,Consumer,South
CUST0021,Customer_21,Female,60,Hyderabad,Home Office,South
CUST0022,Customer_22,Male,38,Ahmedabad,Home Office,West
CUST0023,Customer_23,Male,21,Pune,Corporate,West
CUST0024,Customer_24,Male,50,Delhi,Corporate,North
CUST0025,Customer_25,Male,44,Ahmedabad,Corporate,West
CUST0026,Customer_26,Female,24,Pune,Consumer,West
CUST0027,Customer_27,Male,23,Mumbai,Consumer,West
CUST0028,Customer_28,Male,32,Ahmedabad,Corporate,West
CUST0029,Customer_29,Female,35,Pune,Corporate,West
CUST0030,Customer_30,Male,49,Bangalore,Consumer,South
CUST0031,Customer_31,Female,28,Ahmedabad,Home Office,West
CUST0032,Customer_32,Male,37,Ahmedabad,Consumer,West
CUST0033,Customer_33,Male,41,Kolkata,Consumer,East
CUST0034,Customer_34,Female,32,Chennai,Corporate,South
CUST0035,Customer_35,Female,24,Kolkata,Consumer,East
CUST0036,Customer_36,Female,38,Ahmedabad,Consumer,West
CUST0037,Customer_37,Male,59,Chennai,Consumer,South
CUST0038,Customer_38,Male,43,Pune,Corporate,West
CUST0039,Customer_39,Female,61,Delhi,Consumer,North
CUST0040,Customer_40,Male,31,Delhi,Corporate,North
CUST0041,Customer_41,Male,54,Ahmedabad,Consumer,West
CUST0042,Customer_42,Male,38,Bangalore,Consumer,South
